node_id,character,stage,narrative_text,image_hint,policy_note,policy_countries,location,source_notes,path_description
wholesaler_bribe,Wholesaler,Port Worker,"You meet the port worker. He's done this before, he says. You give him $2,500, promise other half on delivery. Twenty-four hours later he calls: 'I have the package. Meet at warehouse.' You arrive. Three outcomes possible: he delivers as agreed, he's undercover police (sting), or he stole the package to sell himself.",warehouse_meeting,Spain uses undercover operations (Organic Law 5/1999). Sting operations legal if supervised. Port worker theft possible but creates cartel conflict. Bribery of official = additional 2-4 years. Recording legal for serious crimes.,"Spain,US,Germany",Port of Barcelona - Warehouse,Organic Law 5/1999 undercover operations; Bribery charges Article 419; Sting operation protocols,BRIBE - Outcome unknown
wholesaler_credentials,Wholesaler,Fake ID,"You have fake port credentials - ID, uniform, clipboard. You enter the port. A guard scans your ID, and the system pauses. Is it processing or flagging? You have seconds: continue confidently or abort and run.",port_checkpoint,"Fake documents (Article 392): 2-6 years additional. ID systems flag suspicious credentials. Detection means immediate arrest. Attempt/conspiracy prosecuted seriously even without completing retrieval. Evidence: fake credentials, container number, supplier messages.","Spain,UK,Germany",Port of Barcelona - Checkpoint,Article 392 false documents; Port security systems; Conspiracy prosecution standards,CREDENTIALS - Detection risk
producer_start,Producer,Wanting to Quit,"You're worked as a cocaine 'cook' in the Colombian rainforest for 10 years. You started very young, and years of . handling gasoline, sulfuric acid, acetone and lime have left you with a permanent cough. Your children have begged you to quit. You're terrified of police raids. You want out. But you know that in your line of business you can't just quit. ",jungle_lab,"Colombia lab workers face 15-25 years imprisonment if caught. Chemical exposure causes severe health problems: respiratory disease, cancer, neurological damage. Cartels control remote areas, with many working in conditions similar to slavery. Quitting attempts often result in death.","Colombia,Peru,Bolivia","Jungle lab - Putumayo, Colombia",Colombia sentencing for production; Chemical health impacts; Cartel labor control,START - Wanting out
producer_boss,Producer,Boss Confrontation,"You tell the boss you're quitting. He listens quietly. His response could go three ways: he lets you leave peacefully (rare but you've been loyal), he refuses and forces you to continue (common, considering what you know), or you might just 'disappear': they think you'll be cooking for someone else. ",boss_quarters,"Unsolved murder rates in coca regions sit at above 60%, with minimal state presence.","Colombia,Peru,Mexico",Jungle lab - Boss's quarters,Worker execution documentation; Murder rates in coca regions; Forced labor patterns,CONFRONTATION - Boss decision
producer_report,Producer,After Reporting,"You call the local prosecutor, and report the lab's location. Two days later, there's a raid: 3 are arrested, and the lab is destroyed. But does anyone know you reported?",phone_call_town,"Colombian witness protection is underfunded. Support: $500-800/month for 6-12 months, involving relocation to cities where witnesses become part of the urban poor.","Colombia,US,Italy",Nearest town - Public phone,Witness protection funding; Informant killing statistics; Protection program effectiveness,REPORT - Protection or exposure
producer_flee,Producer,Fleeing,"You leave one morning and never return. You take the bus to another region, trying to disappear. But the cartel has networks everywhere: they'll look for you. If they find you, punishment will be severe. If you stay hidden, you'll be looking over your shoulder for a long time. ",jungle_escape,"Successfully disappearing requires: cutting family contact, fake identity, illegal border crossing often, illegal work. Venezuela/Ecuador easier to disappear into. Long-term: isolation, paranoia, inability to build stable life. Many regret choice after years of isolation.","Colombia,Venezuela,Ecuador",Fleeing through jungle,Fugitive outcomes; Displacement routes; Long-term fugitive stability,FLEE - Escape or capture
farmer_start,Farmer,Cultivation,"You are a farmer from the Ene river valley in Peru. You own 2 hectares of land. For generations, your family has grown coffee, but you know that coca leaf pays three times as much, and the middlemen come directly to your door. Your neighbor just bought a new truck.",farm_ene_valley,"Traditional coca cultivation is constitutionally protected in Peru (Article 89), but cultivation for cocaine production is illegal and subject to eradication programs. Coca prices: $2-4/kg vs coffee $1.50/kg. Economic pressure drives approximately 60% of farmers in coca-growing regions toward coca cultivation.","Peru,Bolivia,Colombia","Ene River Valley, VRAEM region, Peru",Peru Constitution 1993 Art. 89; UNODC World Drug Report 2023; DEVIDA Agricultural Income Data 2022,Initial decision point - coca or coffee
farmer_coca_01,Farmer,Production,You plant coca. A man from the village offers you cash—more than you'd make in six months—for your entire harvest. He says it's for 'traditional use' but you've seen the plastic barrels and chemicals hidden in the nearby valley. You know what those are for.,coca_middleman,"Selling coca leaf to cocaine producers is prosecuted as drug trafficking in Peru. Penalties: 8-15 years minimum for production-related offenses (Article 296). Approximately 75% of coca in Peru enters cocaine production chains. Farmers create plausible deniability by selling to intermediaries, but legal liability remains.","Peru,Colombia,Bolivia","Ene River Valley, Peru",Peru Penal Code Article 296; UNODC Peru Country Profile 2023; Peru Judiciary Sentencing Data,COCA PATH - middleman offer decision
farmer_coca_sell_02,Farmer,Cultivation,Dawn breaks and you see trucks approaching. The police eradication team. Your neighbor's field was destroyed last week. You have minutes to decide what to do about your coca crop.,eradication_trucks,"Peru's CORAH (Special Project for Control and Reduction of Coca Cultivation in Alto Huallaga) destroyed 25,486 hectares in 2022. Eradication is military-led and often violent: 47 deaths in eradication confrontations 2010-2020. Bolivia under Morales prohibited forced eradication (Law 1008 reforms), allowing community-controlled coca monitoring instead. Colombia combines forced eradication with voluntary substitution but violence persists.","Peru,Bolivia,Colombia","Ene River Valley, Peru",UNODC Coca Cultivation Report 2023; CORAH Annual Reports; Defensoría del Pueblo Peru 2022; Bolivia Law 1008,COCA-SELL PATH - eradication confrontation
farmer_coca_sell_hide_end,Farmer,Cultivation,ENDING_NODE,farm_hiding,,,"Ene River Valley, Peru",,COCA-SELL-HIDE ending
farmer_coca_sell_accept_end,Farmer,Cultivation,ENDING_NODE,farm_destroyed,,,"Ene River Valley, Peru",,COCA-SELL-ACCEPT ending
farmer_coca_sell_resist_end,Farmer,Cultivation,ENDING_NODE,farm_violence,,,"Ene River Valley, Peru",,COCA-SELL-RESIST ending
farmer_coca_permits_end,Farmer,Cultivation,ENDING_NODE,enaco_office,,,"Lima/Cusco, Peru",,COCA-PERMITS ending
farmer_coca_report_end,Farmer,Cultivation,ENDING_NODE,police_station,,,"Ene River Valley, Peru",,COCA-REPORT ending
farmer_coffee_01,Farmer,Cultivation,You decide to stick with coffee. Harvest season comes and the buyers offer $1.50 per kilo—barely enough to cover costs. Your children need school supplies. The bank is calling about the loan. Your coca-growing neighbor just enrolled his kids in private school.,coffee_harvest,"Legal agricultural income in Peru: coffee farmers average $150-200/month ($1,800-2,400 annually). Coca farmers: $400-600/month ($4,800-7,200 annually). Coffee production costs often exceed revenues at current market prices. Alternative development programs provide $1,000-2,000 over 2 years—insufficient for long-term economic sustainability. Economic pressure is the primary driver of coca cultivation.","Peru,Colombia,Bolivia","Ene River Valley, Peru",DEVIDA Alternative Development Reports 2023; World Bank Rural Peru Agricultural Data; UNODC Farmer Income Surveys 2022,COFFEE PATH - economic pressure
farmer_coffee_loan_02,Farmer,Cultivation,You take a loan from a local lender—50% interest. It's the only option. Now you're farming not for profit but to service debt. The coca middlemen still come by weekly. Their offers sound better each time.,farm_debt,Rural debt in coca-growing regions creates acute vulnerability to trafficking. Predatory lending is common where formal banking is absent: interest rates 40-100% annually. Approximately 40% of legal-crop farmers take informal loans. Studies show 55% of farmers who take loans switch to coca cultivation within 3 years. Debt is the primary driver of coca adoption after attempted legal crops. Informal lenders sometimes use intimidation; state provides limited protection or debt relief.,"Peru,Colombia,Bolivia","Ene River Valley, Peru",Rural Finance Studies Peru 2022; UNODC Farmer Surveys 2023; Defensoría del Pueblo Rural Credit Report,COFFEE-LOAN PATH - debt trap
farmer_coffee_loan_default_end,Farmer,Cultivation,ENDING_NODE,farm_seized,,,"Ene River Valley, Peru",,COFFEE-LOAN-DEFAULT ending
farmer_coffee_loan_altdev_end,Farmer,Cultivation,ENDING_NODE,development_office,,,"Regional capital, Peru",,COFFEE-LOAN-ALTDEV ending
farmer_coffee_coop_end,Farmer,Cultivation,ENDING_NODE,cooperative_meeting,,,"Ene River Valley, Peru",,COFFEE-COOP ending
farmer_coffee_migrate_end,Farmer,Cultivation,ENDING_NODE,city_outskirts,,,"Lima, Peru",,COFFEE-MIGRATE ending
