iso3_code,country,region,subregion,indicator,dimension,category,sex,age,year,unit_of_measurement,value,source
JAM,Jamaica,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,22.0,CTS
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,1.0,CTS
LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,0.0,CTS
LTU,Lithuania,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,0.0,CTS
MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,56.0,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,14196.0,CTS
MLT,Malta,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,36.0,CTS
MNG,Mongolia,Asia,Eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,7.0,CTS
NOR,Norway,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,1396.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,1060.0,CTS
PER,Peru,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,1442.0,CTS
SLV,El Salvador,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,4.0,CTS
SRB,Serbia,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,701.0,CTS
SWE,Sweden,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,253.0,CTS
THA,Thailand,Asia,South-eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,207374.0,CTS
URY,Uruguay,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,1753.0,CTS
VAT,Holy See,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,0.0,CTS
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2021,Counts,2.0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,0.0,CTS
BHS,Bahamas,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,0.0,CTS
BLZ,Belize,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,49.0,CTS/MoI
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,1190.0,CTS
BRB,Barbados,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,11.0,CTS
CHE,Switzerland,Europe,Western Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,671.0,CTS
CHL,Chile,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,8299.0,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,7383.0,CTS
CRI,Costa Rica,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,191.0,CTS
CYP,Cyprus,Asia,Western Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,102.0,CTS
DMA,Dominica,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,4.0,CTS
ECU,Ecuador,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,42.0,CTS
ESP,Spain,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,10001.0,CTS
FRA,France,Europe,Western Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,15911.0,CTS
GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,251.0,CTS
GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,516.0,CTS
GRC,Greece,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,1126.0,CTS
GRD,Grenada,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,5.0,CTS
GTM,Guatemala,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,216.0,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,283.0,CTS
HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,1389.0,CTS
HND,Honduras,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,432.0,CTS
ITA,Italy,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,10358.0,CTS
JAM,Jamaica,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,28.0,CTS
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,6.0,CTS
LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,7.0,CTS
LTU,Lithuania,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,236.0,CTS
MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,39.0,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,11436.0,CTS
MLT,Malta,Europe,Southern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,21.0,CTS
MMR,Myanmar,Asia,South-eastern Asia,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,1173.0,CTS
NOR,Norway,Europe,Northern Europe,Persons entering prison,by selected crime,Drug Trafficking,Total,Total,2022,Counts,1168.0,CTS
